raw_order_item,canonical_name
"Amy exclusive overall , ניתן להוסיף רקמת שם",Amy exclusive overall
Ari's special box,Ari's special box
Classic Box,Classic Box
Baby bear towel 🐻 - מגבת תינוק ענקית עם רקמת שם,Baby bear towel
Baby bear towel 🐻 - מגבת תינוק עם רקמת שם,Baby bear towel
Baby bear towel 🐻 - מגבת תינוק ענקית,Baby bear towel
"Baby bear towel 🐻 - מגבת תינוק, ניתן להוסיף רקמת שם",Baby bear towel
Baby bear towel 🐻- בצבע חול,Baby bear towel
Bambini teether,Bambini teether
"Bambini teether- מתנה ברכישה מעל 399 ש""ח",Bambini teether
Ba-bi nature box,BA-b natural box
BAR-b natural box,BAR-b natural box
Beary set,Beary set
Beary set + matching pants,Beary set
Beary tetra blanket,Beary tetra blanket
Bunny tetra blanket,Bunny tetra blanket
Big 100% cotton tetra,Big 100% cotton tetra
BIG cotton knitted blanket-בצבע חום,BIG cotton knitted blanke
Big expensive SUN box,Big expensive SUN box
Big FI-FI exclusive box -מארז מתנה לתינוק,Big FI-FI exclusive box -מארז מתנה לתינוק
BIG Knitted cotton blanket-שמיכת כותנה ענקית,BIG Knitted cotton blanket- שמיכת כותנה ענקית עם רקמת שם
Knitted cotton blanket- שמיכת כותנה ענקית עם רקמת שם,BIG Knitted cotton blanket- שמיכת כותנה ענקית עם רקמת שם
BIG Knitted cotton blanket- שמיכת כותנה ענקית עם רקמת שם,BIG Knitted cotton blanket- שמיכת כותנה ענקית עם רקמת שם
Minnie me box,Big Minnie me box
Big Minnie me box,Big Minnie me box
Big SUN box,Big SUN box
Big wall picture,Big wall picture
box of 3 rib pants,box of 3 rib pants
box of 3 RUBY set,box of 3 RUBY set
Box of 3 tetra blankets,Box of 3 tetra blankets
Brownie box,Brownie box
Brownie cookie box,Brownie cookie box
Bunny baby box - מארז מתנה לתינוק,Bunny baby box
Casey box,Casey box
Cheetah tetra blanket,Cheetah tetra blanket
Chi-ky box,Chi-ky box
Chunky-B knitted sweater,Chunky-B knitted sweater
Chunky-B pants,Chunky-B pants
Classic SUN box,Classic SUN box
Flora tetra blankets,Flora tetra blankets
Cloud tetra blankets,Cloud tetra blankets
Cotton Socks,Cotton Socks
Cotton sucks,Cotton Socks
Cream chocolate box,Cream chocolate box
Creamy beary box,Creamy beary box
Didi box,Didi box
Didi mini box,Didi mini box
Kiki mini box,Didi mini box
Dubi premium box,Dubi premium box
E-Z box,E-Z box
Ellie overall,Ellie overall
Elli overall,Ellie overall
Emily box,Emily box
Exclusive Royal blankt - עם רקמת שם התינוק,Exclusive Royal blanket
Exclusive Royal blanket -  שמיכה נסיכותית עם רקמת שם,Exclusive Royal blanket
Exclusive Royal blanket - בצבע מוקה,Exclusive Royal blanket
"Exclusive Royal blanket -  שמיכה נסיכותית, ניתן להוסיף רקמת שם",Exclusive Royal blanket
Exclusive Royal blankt -  שמיכה נסיכותית עם רקמת שם,Exclusive Royal blanket
Exclusive Royal blanket- שמיכה סרוגה נסיכותית,Exclusive Royal blanket
KAI exclusive box,GIGI exclusive box
GIGI exclusive box,GIGI exclusive box
Gigi jungle box,Gigi jungle box
Gray Short Ellie Overall,Gray Short Ellie Overall
Short Ellie Overall,Gray Short Ellie Overall
It’s a girl! box,It’s a girl! box
Jhony's box,Jhony's box
JO box,JO box
Kelly cream box,Kelly cream box
Kids T-shirts + רקמה אישית,Kids T-shirts
KIKI box,KIKI box
KIM overall,Kimi overall
Kimi overall,Kimi overall
"Kim overall, ניתן להוסיף רקמת שם ",Kimi overall
KIM overall +רקמה אישית,Kimi overall
Knitted blanket-שמיכה סרוגה,Knitted blanket-שמיכה סרוגה
Knitted boots-גרבי כותנה סרוגות לתינוק ,Knitted boots-גרבי כותנה סרוגות לתינוק
Knitted boots-נעלי בית סרוגות,Knitted boots-נעלי בית סרוגות
Knitted cotton blanket+ רקמה אישית,Knitted cotton blanket
Knitted cotton blanket,Knitted cotton blanket
Knitted rattle & teether,Knitted rattle & teether
Koko box,Koko box
Koko mini box,Koko mini box
Lashy box,Lashy box
Laurence zebra box,Laurence zebra box
Lenny box,Lenny box
Libi top + רקמת שם אישית,Libi top
Libi top + רקמה אישית,Libi top
Lilly box,Lilly box
Lo-la nature box,Lo-la nature box
LOLA box,LOLA box
Loop tower,Loop tower
LUCY set,LUCY set
Maxi box,Maxi box
Mini bunny box,Mini bunny box
Mini teddy box,Mini teddy box
mini winter moon box 🌙,mini winter moon box
Winter moon box 🌙,mini winter moon box
Minnie me set,Minnie me set
Mom's T-shirt,Mom's T-shirt
Moon box,Moon box
Moonlight box,Moonlight box
My Bunny,My Bunny
My new Bunny,My new Bunny
Naomi box,Naomi box
New SOL box,New SOL box
NIKY box,NIKY box
Nivi box,Nivi box
NO-NI box,NO-NI box
One BIG hoop,One BIG hoop
One mini hoop,One mini hoop
Our dreamy slippers,Our dreamy slippers
Our dreamy tetra blanket,Our dreamy tetra blanket
Pacifier holder,Pacifier holder
pack of 3 cotton socks,pack of 3 cotton socks
pack of 5 cotton socks,pack of 3 cotton socks
pack of 3 mini hoops,pack of 3 mini hoops
Pinky beary box,Pinky beary box
Polly box,Polly box
Rib overall +רקמה אישית,Rib overall
Rary overall,Rary overall
Rib overall +רקמת שם אישית,Rib overall
Rainy overall,Rainy overall
Rib pants,Rib pants
Ribs overall,Ribs overall
RICHIE box,RICHIE box
Royal knitted blanket + רקמה אישית,Royal knitted blanket
Knitted blankt -  שמיכה עם רקמת שם התינוק,Royal knitted blanket
Knitted blanket,Royal knitted blanket
Royal knitted blanket,Royal knitted blanket
"Knitted blankt - שמיכה סרוגה, ניתן להוסיף רקמת שם",Knitted blankt
Knitted blankt - שמיכה עם רקמת שם,Knitted blankt
Knitted blankt - שמיכה סרוגה עם רקמת שם,Knitted blankt
Knitted blanket+רקמה אישית,Knitted blankt
Gray knitted blanket,Knitted blankt
Royal knitted blanket- שמיכה נסיכותית עם רקמת שם,Royal knitted blanket
RUBY set,RUBY set
RUBY set- סט ביגוד ראשוני עם רקמת שם,RUBY set
RUBY set- ביגוד ראשוני עם רקמת שם,RUBY set
RUBY set- רקמת שם אישית,RUBY set
Shaya box,Shaya box
Shaya unisex box,Shaya unisex box
Shayush box,Shayush box
Sissi box,Sissi box
 Sissi box- מארז מתנה לתינוק,Sissi box
Sky shapes Panel,Sky shapes Panel
Snow box,Snow box
SNOW box,Snow box
SOL set,SOL set
Summer blankets,Summer blankets
TAMI unisex box,TAMI unisex box
Tetra Boho blanket,Tetra Boho blanket
Theo box,Theo box
TITI brown box,TITI brown box
TITI new box,TITI new box
TITI pink box,TITI pink box
Toytoy tetra blanket,Toytoy tetra blanket
Waffle overalls,Waffle overalls
Waffle summer blanket,Waffle summer blanket
Winter Shaya box,Winter Shaya box
Wooden blocks,Wooden blocks
Wooden brush,Wooden brush
Wooden car,Wooden car
Yo-yo winter box,Yo-yo winter box
Yoyo box,Yoyo box
YULI set,YULI set
